"transcript","sampleA","sampleB","logFC","logCPM","PValue","FDR","HG_rep1","HG_rep2","HG_rep3","LG_rep1","LG_rep2","LG_rep3","Expression"
"TRINITY_DN566_c1_g2_i1","RAZ_BM","RAZ_SM",-2.0421278541302,6.15978545470557,1.20149894536861e-08,3.00560422542801e-05,16.75,13.601,13.446,59.145,76.085,46.89,"Downregulated"
"TRINITY_DN5_c0_g1_i8","RAZ_BM","RAZ_SM",-2.78550788888739,4.87973719504849,1.44968647096901e-08,3.46878457579602e-05,1.705,0.601,3.017,13.884,10.412,12.394,"Downregulated"
"TRINITY_DN16766_c0_g1_i4","RAZ_BM","RAZ_SM",-2.5090155294857,2.11925933493219,1.70375316389145e-08,3.90684798423342e-05,0.717,0.353,0.636,3.45,2.38,4.114,"Downregulated"
"TRINITY_DN8729_c0_g1_i2","RAZ_BM","RAZ_SM",-2.52802866102837,2.4232129231808,1.88741629417903e-08,4.15488273335396e-05,1.113,1.957,1.86,9.974,12.978,5.87,"Downregulated"
"TRINITY_DN25966_c0_g1_i3","RAZ_BM","RAZ_SM",-2.5864373766462,3.16748086723866,2.03363679583719e-08,4.29634106547507e-05,4.876,1.861,3.075,28.909,19.119,11.536,"Downregulated"
"TRINITY_DN3843_c1_g2_i1","RAZ_BM","RAZ_SM",-2.07271698496446,2.60787354766543,2.10780987694565e-08,4.29634106547507e-05,1.726,1.222,1.388,5.98,6.082,6.421,"Downregulated"
"TRINITY_DN8770_c0_g1_i1","RAZ_BM","RAZ_SM",-2.15487380570154,3.67046079780373,2.3048619469199e-08,4.53020615667106e-05,1.3,0.926,0.974,3.387,6.523,4.512,"Downregulated"
"TRINITY_DN21281_c0_g1_i1","RAZ_BM","RAZ_SM",-2.42400684476425,6.19028874314216,2.48219827496096e-08,4.71052758152418e-05,7.777,2.835,5.022,31.386,18.825,34.333,"Downregulated"
"TRINITY_DN2724_c3_g1_i1","RAZ_BM","RAZ_SM",-2.32269625441066,2.31466482622731,2.58714435241426e-08,4.74603007635889e-05,1.705,1.833,1.292,7.078,10.823,6.595,"Downregulated"
"TRINITY_DN49430_c0_g1_i12","RAZ_BM","RAZ_SM",10.2247628730395,2.90031587454238,2.74297911114579e-08,4.86958427105798e-05,0,5.822,6.93,0,0,0,"Upregulated"
"TRINITY_DN5294_c0_g2_i1","RAZ_BM","RAZ_SM",-2.10773821499746,4.71282663506662,4.36345760400737e-08,7.50432893059192e-05,12.622,6.271,7.258,45.48,33.39,34.731,"Downregulated"
"TRINITY_DN984_c0_g1_i3","RAZ_BM","RAZ_SM",2.94868260707497,1.29381517018469,5.19261609010574e-08,8.57038755133089e-05,2.423,1.594,1.619,0.261,0.118,0.347,"Upregulated"
"TRINITY_DN1715_c0_g1_i4","RAZ_BM","RAZ_SM",-8.85585563598804,1.58786075383684,5.29478461942164e-08,8.57038755133089e-05,0,0,0,10.832,1.381,0.255,"Downregulated"
"TRINITY_DN9936_c0_g1_i2","RAZ_BM","RAZ_SM",-1.94128577748697,6.47552237774498,5.600661412893e-08,8.80648000563296e-05,6.374,5.087,5.706,19.844,28.679,18.029,"Downregulated"
"TRINITY_DN142_c0_g1_i5","RAZ_BM","RAZ_SM",-5.38409583047932,4.19505647312,6.18288723567493e-08,9.45191711467039e-05,2.61,0,0,30.958,53.165,24.869,"Downregulated"
"TRINITY_DN23081_c0_g1_i6","RAZ_BM","RAZ_SM",-2.14972719479715,7.12563460115548,6.64816544845274e-08,9.88851722405805e-05,94.751,77.083,134.43,353.698,362.577,642.024,"Downregulated"
"TRINITY_DN87421_c0_g1_i1","RAZ_BM","RAZ_SM",-2.46663240331212,2.86987688605316,7.42914015393404e-08,0.000104981795722044,20.992,6.032,24.694,101.509,71.599,109.277,"Downregulated"
"TRINITY_DN214_c0_g1_i3","RAZ_BM","RAZ_SM",-2.04863305186135,2.99375472110883,7.43956469302565e-08,0.000104981795722044,1.965,1.346,2.467,9.859,6.415,8.004,"Downregulated"
"TRINITY_DN26875_c0_g1_i8","RAZ_BM","RAZ_SM",-2.84044921945316,1.2402196677789,9.14356124574323e-08,0.000125801687399558,0.333,0.42,0.636,2.321,3.771,4.135,"Downregulated"
"TRINITY_DN68262_c0_g1_i1","RAZ_BM","RAZ_SM",-1.87116768518616,4.59091886534562,9.78749485869961e-08,0.000131376827330164,3.92,3.923,5.783,18.736,15.701,15.865,"Downregulated"
"TRINITY_DN8843_c0_g1_i1","RAZ_BM","RAZ_SM",-2.17345998609857,3.62419954968851,1.11749954730078e-07,0.000146429690681313,5.822,1.871,4.588,19.039,17.581,19.101,"Downregulated"
"TRINITY_DN562_c0_g2_i5","RAZ_BM","RAZ_SM",-1.8956054225778,5.23902942718806,1.1761344937906e-07,0.000150528804026214,45.842,36.957,42.044,113.585,171.866,178.995,"Downregulated"
"TRINITY_DN6595_c0_g1_i1","RAZ_BM","RAZ_SM",-2.05318950872805,6.16340161913172,1.22568385070995e-07,0.000153305193272662,6.186,7.216,11.171,26.734,45.78,30.127,"Downregulated"
"TRINITY_DN16721_c0_g1_i2","RAZ_BM","RAZ_SM",-2.60852629148016,1.50108886658309,1.72843983586662e-07,0.000211384350949074,0.239,0.2,0.607,2.143,2.517,1.725,"Downregulated"
"TRINITY_DN72138_c0_g1_i4","RAZ_BM","RAZ_SM",-2.33924958489936,3.07435761630202,1.78251532293788e-07,0.000213258583222964,3.4,5.25,4.145,20.524,11.881,33.057,"Downregulated"
"TRINITY_DN12969_c0_g1_i2","RAZ_BM","RAZ_SM",-1.94971040415714,8.59916072741288,1.91210847446172e-07,0.000223895697411758,56.052,53.555,84.531,302.97,269.323,183.558,"Downregulated"
"TRINITY_DN37640_c1_g1_i1","RAZ_BM","RAZ_SM",-2.25095534567293,1.87707452734073,2.13008198400311e-07,0.000244222774807557,1.726,1.212,2.178,6.806,9.932,7.994,"Downregulated"
"TRINITY_DN4410_c0_g2_i1","RAZ_BM","RAZ_SM",-9.4126397006026,2.09132586807932,2.30809371023246e-07,0.000259231896426394,0,0,0,0,1.626,5.247,"Downregulated"
"TRINITY_DN34039_c0_g1_i1","RAZ_BM","RAZ_SM",-5.21838869777015,-0.0151440098289159,2.38600031581195e-07,0.00026262228276079,0,0,0.193,2.875,3.653,3.93,"Downregulated"
"TRINITY_DN14784_c1_g1_i1","RAZ_BM","RAZ_SM",-4.39345653917815,1.00597452212692,3.22445685747444e-07,0.000347950507243624,0.208,0,0,1.683,2.38,0.531,"Downregulated"
"TRINITY_DN515_c0_g2_i1","RAZ_BM","RAZ_SM",-2.78425167437078,3.50689237249514,3.84331320641183e-07,0.000406755575003209,3.93,13.754,14.342,72.402,118.603,31.873,"Downregulated"
"TRINITY_DN154971_c0_g1_i1","RAZ_BM","RAZ_SM",-9.99379878010617,2.65888356140082,4.0230580213405e-07,0.000407315022434741,0,0,0,0,21.254,2.767,"Downregulated"
"TRINITY_DN26557_c0_g1_i2","RAZ_BM","RAZ_SM",-2.23443167629534,2.72217087622539,4.07029818706216e-07,0.000407315022434741,2.724,0.811,2.814,11.02,8.179,10.954,"Downregulated"
"TRINITY_DN2572_c0_g1_i2","RAZ_BM","RAZ_SM",-2.48381234821279,1.79675050430904,4.07063383252366e-07,0.000407315022434741,0.333,0.697,0.974,4.558,4.329,2.43,"Downregulated"
"TRINITY_DN2246_c0_g2_i1","RAZ_BM","RAZ_SM",-1.99737619365537,2.22903540141184,4.16336765992062e-07,0.000409154956778699,28.676,15.443,18.506,86.966,76.888,81.601,"Downregulated"
"TRINITY_DN10424_c0_g1_i3","RAZ_BM","RAZ_SM",-1.94968415716549,2.43109969684996,4.92433050483417e-07,0.000475448429829901,1.892,2.243,3.055,8.155,8.933,11.005,"Downregulated"
"TRINITY_DN55692_c0_g1_i1","RAZ_BM","RAZ_SM",-2.28620616555869,2.09986340060916,5.2660470111793e-07,0.000499675226229727,1.539,0.496,1.089,6.022,3.849,5.615,"Downregulated"
"TRINITY_DN613_c0_g1_i1","RAZ_BM","RAZ_SM",-1.80315143627068,6.43983568907028,5.41299842105493e-07,0.00050491348322769,37.493,36.757,39.017,121.092,100.777,176.35,"Downregulated"
"TRINITY_DN19171_c0_g1_i5","RAZ_BM","RAZ_SM",-2.57548691631422,2.31296637423097,5.54993820972952e-07,0.000507197588884095,1.289,0.439,0.414,6.639,2.909,3.461,"Downregulated"
"TRINITY_DN28419_c0_g1_i1","RAZ_BM","RAZ_SM",-2.04087775546356,3.57807874162468,5.62180705053781e-07,0.000507197588884095,12.861,5.164,10.718,28.438,41.451,48.156,"Downregulated"
"TRINITY_DN10202_c0_g2_i1","RAZ_BM","RAZ_SM",-2.47701780093492,3.14800691779433,6.12985433520125e-07,0.000528858773374128,3.951,0.659,3.21,14.303,11.323,18.162,"Downregulated"
"TRINITY_DN261_c0_g1_i8","RAZ_BM","RAZ_SM",-2.06647731995428,8.44615047766033,6.14636511204774e-07,0.000528858773374128,34.311,74.563,79.442,293.173,308.824,195.727,"Downregulated"
"TRINITY_DN35291_c0_g1_i2","RAZ_BM","RAZ_SM",-2.92367301133386,1.24595750939564,6.16574617243207e-07,0.000528858773374128,0.634,0.458,0,2.541,2.978,2.991,"Downregulated"
"TRINITY_DN60029_c0_g2_i1","RAZ_BM","RAZ_SM",-2.29674466721283,1.80314433669449,6.49885665240928e-07,0.000528858773374128,1.903,0.725,1.61,6.953,8.776,5.411,"Downregulated"
"TRINITY_DN38919_c0_g1_i2","RAZ_BM","RAZ_SM",-5.62030221332747,0.306877480225855,6.50488659101662e-07,0.000528858773374128,0,0,0.048,0.502,0.548,2.001,"Downregulated"
"TRINITY_DN72076_c2_g1_i1","RAZ_BM","RAZ_SM",-1.82441257178447,3.371560329278,6.63398736060502e-07,0.000528858773374128,2.87,4.171,2.718,10.487,14.222,10.301,"Downregulated"
"TRINITY_DN21258_c0_g1_i8","RAZ_BM","RAZ_SM",2.20769780121636,1.9707528240575,6.65196230135102e-07,0.000528858773374128,8.807,9.297,11.595,1.997,3.281,1.225,"Upregulated"
"TRINITY_DN142805_c0_g1_i1","RAZ_BM","RAZ_SM",7.82722409739133,0.665298696689364,6.72254486145964e-07,0.000528858773374128,3.254,0.095,0.887,0,0,0,"Upregulated"
"TRINITY_DN220083_c0_g1_i1","RAZ_BM","RAZ_SM",6.00063626439505,0.766377928603887,6.72677147512247e-07,0.000528858773374128,4.72,0.382,0.858,0,0,0.071,"Upregulated"
"TRINITY_DN4046_c2_g2_i2","RAZ_BM","RAZ_SM",1.72153225832827,3.65700265751644,7.22672654546701e-07,0.000560162913666523,11.978,9.268,12.26,3.879,2.664,3.696,"Upregulated"
"TRINITY_DN206789_c0_g1_i1","RAZ_BM","RAZ_SM",7.14460886656466,0.0852142444716036,7.48660156249392e-07,0.000570146764285146,1.539,0.305,0.501,0,0,0,"Upregulated"
"TRINITY_DN20049_c0_g1_i2","RAZ_BM","RAZ_SM",-1.9393777583733,2.64224562841557,7.56272736723038e-07,0.000570146764285146,3.909,1.928,3.672,12.4,10.343,14.037,"Downregulated"
"TRINITY_DN3843_c1_g1_i4","RAZ_BM","RAZ_SM",-1.79010246111674,6.13952311306167,8.28726811407024e-07,0.000616326369445596,8.079,6.366,10.496,25.417,36.524,24.869,"Downregulated"
"TRINITY_DN13861_c0_g1_i1","RAZ_BM","RAZ_SM",-6.91928165288678,-0.142291413105516,8.8613938082995e-07,0.000642353886120404,0,0,0,1.296,0.607,2.154,"Downregulated"
"TRINITY_DN26621_c0_g1_i1","RAZ_BM","RAZ_SM",-2.8292673093337,1.50795736624545,8.87612274743192e-07,0.000642353886120404,0.104,0.773,1.359,5.98,6.631,3.685,"Downregulated"
"TRINITY_DN1802_c0_g1_i1","RAZ_BM","RAZ_SM",-2.03912782956241,3.64808167669298,8.98739855930353e-07,0.000642353886120404,9.451,3.398,8.742,36.384,22.841,29.851,"Downregulated"
"TRINITY_DN61859_c0_g1_i2","RAZ_BM","RAZ_SM",-2.34441466293562,1.79624521435387,9.19852505220526e-07,0.000649014907337262,1.071,0.687,2.188,7.005,5.299,7.953,"Downregulated"
"TRINITY_DN2540_c0_g1_i1","RAZ_BM","RAZ_SM",-2.11460060224674,5.7567889526021,9.33802047164945e-07,0.000649933961752469,7.101,2.701,7.836,30.508,18.815,27.452,"Downregulated"
"TRINITY_DN1158_c0_g1_i2","RAZ_BM","RAZ_SM",-2.04058158530922,4.47255755880952,9.44774447436085e-07,0.000649933961752469,20.753,6.71,18.15,63.933,62.029,61.846,"Downregulated"
"TRINITY_DN16539_c0_g1_i1","RAZ_BM","RAZ_SM",-1.81656313554488,4.76952903193223,9.64038862637543e-07,0.000654998947733266,8.037,5.689,11.287,34.502,29.433,24.716,"Downregulated"
"TRINITY_DN2348_c0_g1_i1","RAZ_BM","RAZ_SM",-2.47879228331539,7.42865885588967,9.86328919685635e-07,0.000661971045926576,28.697,6.118,27.567,126.487,95.223,126.704,"Downregulated"
"TRINITY_DN1118_c0_g1_i4","RAZ_BM","RAZ_SM",-2.18054123593237,2.71657229723547,1.0202303461482e-06,0.000676474179155663,7.673,2.243,7.933,32.359,22.224,26.227,"Downregulated"
"TRINITY_DN4910_c0_g1_i2","RAZ_BM","RAZ_SM",9.12299143527011,1.8432719383077,1.07346167813745e-06,0.00070329630945972,6.685,1.079,0,0,0,0,"Upregulated"
"TRINITY_DN10983_c0_g1_i1","RAZ_BM","RAZ_SM",-2.05527142503135,5.59460499181004,1.10179543697586e-06,0.000713367177394464,23.581,10.041,29.475,96.25,68.631,97.761,"Downregulated"
"TRINITY_DN44740_c0_g1_i1","RAZ_BM","RAZ_SM",-1.86553632293372,2.70342359095799,1.25121822587476e-06,0.000800569169467785,1.664,1.632,2.525,8.406,7.601,5.401,"Downregulated"
"TRINITY_DN14945_c0_g2_i3","RAZ_BM","RAZ_SM",-2.70840220616169,0.976874557256437,1.26557251414939e-06,0.000800569169467785,1.57,2.148,2.255,14.376,16.621,7.708,"Downregulated"
"TRINITY_DN44974_c0_g1_i1","RAZ_BM","RAZ_SM",1.79416671776524,3.52962480608931,1.31125845773759e-06,0.00082004315867194,17.031,23.346,16.617,3.994,6.131,6.473,"Upregulated"
"TRINITY_DN30_c0_g1_i1","RAZ_BM","RAZ_SM",-2.353202534807,3.54393619266959,1.38748328273487e-06,0.000857963539123944,1.955,1.04,4.655,17.962,11.136,10.362,"Downregulated"
"TRINITY_DN27966_c0_g1_i1","RAZ_BM","RAZ_SM",-1.89280374393034,2.34972187345502,1.45990980762229e-06,0.000892718626140948,2.776,2.825,3.2,12.107,7.973,12.914,"Downregulated"
"TRINITY_DN12656_c0_g2_i1","RAZ_BM","RAZ_SM",-2.60975052379469,1.12902436528853,1.52665765914779e-06,0.000923275578170763,6.53,5.211,10.949,59.919,49.61,29.228,"Downregulated"
"TRINITY_DN156251_c0_g1_i1","RAZ_BM","RAZ_SM",6.91687561930659,-0.097365376082094,1.61334381301988e-06,0.000965095254410174,1.414,0.305,0.636,0,0,0,"Upregulated"
"TRINITY_DN5544_c0_g1_i9","RAZ_BM","RAZ_SM",-1.95949151087819,2.1942490948992,1.71669598043221e-06,0.00101587792029147,2.121,1.193,2.313,9.086,6.68,6.33,"Downregulated"
"TRINITY_DN2802_c5_g1_i1","RAZ_BM","RAZ_SM",-2.79899181472288,4.90214731778288,1.87328050410472e-06,0.00109346902368443,3.452,17.247,14.978,86.151,130.317,35.262,"Downregulated"
"TRINITY_DN208414_c0_g1_i1","RAZ_BM","RAZ_SM",7.35333743940081,0.260072941332324,1.88755237217031e-06,0.00109346902368443,3.462,0.239,1.301,0,0,0,"Upregulated"
"TRINITY_DN3916_c0_g1_i2","RAZ_BM","RAZ_SM",-2.25895004126115,2.47817800028138,1.95645727964581e-06,0.00111911275908568,0.759,2.825,1.301,9.932,6.993,6.595,"Downregulated"
"TRINITY_DN28419_c0_g1_i4","RAZ_BM","RAZ_SM",-1.8934096502368,6.52921709666006,1.97248860034362e-06,0.00111911275908568,89.313,51.646,103.268,276.267,220.585,409.544,"Downregulated"
"TRINITY_DN41621_c0_g1_i6","RAZ_BM","RAZ_SM",-6.63842394190657,-0.365311211675182,2.00520465258872e-06,0.00112191825976785,0,0,0,1.213,3.085,2.348,"Downregulated"
"TRINITY_DN114624_c0_g1_i1","RAZ_BM","RAZ_SM",8.30894914228675,1.08790479612108,2.01820524979135e-06,0.00112191825976785,24.34,7.97,0,0,0,0,"Upregulated"
"TRINITY_DN3397_c0_g1_i6","RAZ_BM","RAZ_SM",-2.48554521183863,1.56518705505976,2.1528792820055e-06,0.00118481558405891,0.198,0.725,1.292,4.611,3.428,4.329,"Downregulated"
"TRINITY_DN5201_c0_g1_i6","RAZ_BM","RAZ_SM",-1.79303963224396,2.56712785388779,2.18774256422287e-06,0.00119208142850932,13.548,9.096,14.313,49.097,45.77,33.833,"Downregulated"
"TRINITY_DN31562_c0_g1_i5","RAZ_BM","RAZ_SM",-1.94952497855662,4.91787991543908,2.27349733196768e-06,0.00122666325654421,84.717,36.919,89.823,291.459,194.1,321.216,"Downregulated"
"TRINITY_DN136142_c0_g1_i1","RAZ_BM","RAZ_SM",-2.95166982740545,0.7807517972698,2.3711150590483e-06,0.00126691209863752,0.551,0.926,0.53,4.402,8.365,3.308,"Downregulated"
"TRINITY_DN18788_c0_g1_i1","RAZ_BM","RAZ_SM",-2.19076383798429,2.26936533114526,2.45938652071932e-06,0.00130144113251218,0.468,0.296,0.8,2.656,1.479,3.124,"Downregulated"
"TRINITY_DN136_c0_g1_i14","RAZ_BM","RAZ_SM",-1.93565017530939,5.82718694450443,2.67630718318097e-06,0.00140274180494458,4.19,3.503,5.793,20.68,9.187,22.062,"Downregulated"
"TRINITY_DN7329_c0_g1_i5","RAZ_BM","RAZ_SM",-2.36281544314746,2.40802655747876,2.7475088054898e-06,0.00142419839245243,2.069,0.515,1.706,10.037,4.192,7.555,"Downregulated"
"TRINITY_DN35644_c0_g1_i2","RAZ_BM","RAZ_SM",4.02358650423724,0.523427389230931,2.7729358483444e-06,0.00142419839245243,3.743,1.193,1.407,0.376,0,0,"Upregulated"
"TRINITY_DN39962_c0_g2_i1","RAZ_BM","RAZ_SM",-1.8619112385332,5.5065944022105,2.79488000844683e-06,0.00142419839245243,18.715,7.235,13.176,53.917,41.049,48.044,"Downregulated"
"TRINITY_DN1785_c0_g1_i2","RAZ_BM","RAZ_SM",-1.90308781238596,3.41580471386082,2.90162830211441e-06,0.00146502946769325,2.391,2.062,1.793,5.562,6.033,11.996,"Downregulated"
"TRINITY_DN26466_c0_g1_i1","RAZ_BM","RAZ_SM",-1.78123044835456,2.98976757260411,2.94936314090412e-06,0.00146735720886038,2.516,1.432,2.342,9.399,6.709,5.707,"Downregulated"
"TRINITY_DN69_c0_g1_i1","RAZ_BM","RAZ_SM",-2.26189706529497,2.99772667143723,2.95956409098924e-06,0.00146735720886038,5.115,1.928,9.321,21.527,22.077,35.211,"Downregulated"
"TRINITY_DN1127_c1_g1_i2","RAZ_BM","RAZ_SM",2.5720405555332,3.64459303342196,3.18185605346136e-06,0.00156348451826958,70.13,13,23.701,4.914,5.289,7.698,"Upregulated"
"TRINITY_DN14986_c0_g1_i1","RAZ_BM","RAZ_SM",-2.17627402711542,2.77939301279488,3.29095581040722e-06,0.00159401096470135,2.641,0.687,1.041,7.956,5.221,6.748,"Downregulated"
"TRINITY_DN2296_c0_g1_i4","RAZ_BM","RAZ_SM",-1.87295310591237,3.78480415011409,3.32731896462195e-06,0.00159401096470135,12.654,4.686,9.61,41.57,28.15,29.422,"Downregulated"
"TRINITY_DN3426_c0_g1_i4","RAZ_BM","RAZ_SM",-1.72651153023236,4.39767003017881,3.33087293201757e-06,0.00159401096470135,12.456,6.758,11.605,36.238,26.906,39.386,"Downregulated"
"TRINITY_DN24090_c0_g1_i1","RAZ_BM","RAZ_SM",-2.13110655209255,3.37012630285224,3.37778793804941e-06,0.00160252742571217,6.779,4.028,12,34.052,19.775,46.288,"Downregulated"
"TRINITY_DN7601_c0_g1_i13","RAZ_BM","RAZ_SM",-2.16152890976336,1.96932502855959,3.51605972184986e-06,0.00165387034813919,1.975,0.506,1.398,6.189,4.515,6.779,"Downregulated"
"TRINITY_DN3354_c0_g1_i1","RAZ_BM","RAZ_SM",-1.76958985590537,4.12208106201855,3.63781366302311e-06,0.00169214989382401,4.575,2.52,5.851,16.707,12.851,14.844,"Downregulated"
"TRINITY_DN5036_c0_g1_i2","RAZ_BM","RAZ_SM",-3.64364630840197,1.85718947152536,3.73733819022049e-06,0.00169214989382401,0.135,0.983,0.79,13.278,10.157,1.286,"Downregulated"
"TRINITY_DN562_c0_g3_i1","RAZ_BM","RAZ_SM",-2.72219186193282,3.02330097087621,3.74259451674783e-06,0.00169214989382401,12.03,1.355,8.954,67.164,23.027,56.762,"Downregulated"
"TRINITY_DN578_c0_g2_i2","RAZ_BM","RAZ_SM",-2.36604004973017,5.34095404180282,3.7447108586765e-06,0.00169214989382401,13.423,2.377,10.911,45.281,39.492,53.107,"Downregulated"
"TRINITY_DN2427_c0_g1_i4","RAZ_BM","RAZ_SM",-1.99534265807964,4.25483834251003,3.75117721856542e-06,0.00169214989382401,3.847,2.434,3.586,14.742,18.561,6.462,"Downregulated"
"TRINITY_DN8667_c0_g1_i1","RAZ_BM","RAZ_SM",-7.85224180163032,0.64557421212977,3.91802592339328e-06,0.00175304584282948,0,0,0,1.119,0,2.44,"Downregulated"
"TRINITY_DN21986_c0_g1_i2","RAZ_BM","RAZ_SM",-2.79158097915447,0.75089069093362,4.20101734522056e-06,0.00186450635949088,0.707,0.143,0.819,4.851,4.554,2.522,"Downregulated"
"TRINITY_DN22903_c0_g1_i2","RAZ_BM","RAZ_SM",-3.26735084779883,1.37119779320454,4.4239805877928e-06,0.00194474428404498,0.821,2.825,0.28,17.481,16.161,4.563,"Downregulated"
"TRINITY_DN19700_c0_g1_i2","RAZ_BM","RAZ_SM",-1.67941774183695,3.32904676940844,4.4524799176812e-06,0.00194474428404498,1.913,1.012,1.899,6.012,4.613,4.941,"Downregulated"
"TRINITY_DN2558_c0_g1_i12","RAZ_BM","RAZ_SM",-1.97718685195949,2.13048208305714,4.61108571125586e-06,0.00199816134671854,11.967,4.209,11.846,40.022,35.045,34.976,"Downregulated"
"TRINITY_DN326_c0_g1_i8","RAZ_BM","RAZ_SM",-1.8560536018262,5.00876456442619,5.10986284106299e-06,0.00219337335206144,5.365,2.72,7.827,22.583,17.983,17.294,"Downregulated"
"TRINITY_DN9141_c0_g1_i15","RAZ_BM","RAZ_SM",-1.86243852422626,6.30287375080118,5.17986191633152e-06,0.00219337335206144,16.989,8.667,18.256,66.986,33.703,59.937,"Downregulated"
"TRINITY_DN24524_c1_g1_i1","RAZ_BM","RAZ_SM",-1.79654102047656,7.8253982724769,5.18113413104602e-06,0.00219337335206144,41.558,16.904,34.535,121.008,99.229,104.642,"Downregulated"
"TRINITY_DN32125_c0_g1_i1","RAZ_BM","RAZ_SM",-4.82868327516115,-0.316348668649996,5.2943104102672e-06,0.00222417617647821,0,0,0.28,3.753,3.546,3.89,"Downregulated"
